date,herfindahl_index,number_of_holders,total_supply_held,whale_balance_pct,whale_balance_total,whale_count
2020-09-14 00:00:00.000 UTC,3.000000024,5,3000000024.0,0.9999999880000001,2999999988.0,1
2020-09-15 00:00:00.000 UTC,0.24999999975025003,3,3999999988.0039997,0.9999999994995,3999999986.002,1
2020-09-16 00:00:00.000 UTC,0.18957559411575522,52,18129676983.792248,0.9999997070942065,18129671673.504826,50
2020-09-17 00:00:00.000 UTC,7.227866944719329e-06,128094,15144365490002.254,0.9999840045406565,15144123248919.775,234
2020-09-18 00:00:00.000 UTC,2.7110304163136897e-05,57352,1988067090544.215,0.9998941237999892,1987856601555.3018,237
2020-09-19 00:00:00.000 UTC,4.4948120936677845e-05,25228,668711544853.6395,0.9998068468178072,668582381090.782,127
2020-09-20 00:00:00.000 UTC,8.090261686215292e-05,15965,283109604412.1938,0.9996311998174948,283005193538.4176,126
2020-09-21 00:00:00.000 UTC,0.00010221411253490832,12098,247872376815.19504,0.9996433850930443,247783981830.6002,115
2020-09-22 00:00:00.000 UTC,0.00012137793809805022,9570,182212115155.45724,0.9995473487431661,182129636612.52176,109
2020-09-23 00:00:00.000 UTC,0.0001173788334267631,9865,210851905234.25552,0.9995219325351433,210751103798.46,132
2020-09-24 00:00:00.000 UTC,0.00010164706198000721,8507,221454207068.80853,0.999649692622095,221376630026.20422,107
2020-09-25 00:00:00.000 UTC,0.00019363681377857373,8054,102992869360.13644,0.999520308984658,102943464606.0601,86
2020-09-26 00:00:00.000 UTC,0.00017969339688028686,8109,114482939193.88739,0.9988316955125734,114349188262.2934,68
2020-09-27 00:00:00.000 UTC,0.00022390619622598493,6709,88804917506.92662,0.9994008868905024,88751713316.66037,71
2020-09-28 00:00:00.000 UTC,0.00023158565268007858,6368,75166167895.714,0.9995302416157852,75130857958.1357,69
2020-09-29 00:00:00.000 UTC,0.0002596065698168647,5544,64918985314.72446,0.9995127609712379,64887354251.37149,62
2020-09-30 00:00:00.000 UTC,0.0002818299519470809,5235,57934428493.25496,0.9992713938577275,57892217112.805725,69
2020-10-01 00:00:00.000 UTC,0.000290469363288538,5449,67022491392.70957,0.9992299349628017,66970879715.38212,75
2020-10-02 00:00:00.000 UTC,0.0002626040967872436,5038,60027002830.542755,0.9993352379735589,59987099158.49994,86
2020-10-03 00:00:00.000 UTC,0.0003355659271236721,4238,47550305355.44112,0.9993549677630584,47519633875.61044,58
2020-10-04 00:00:00.000 UTC,0.0003315966918345526,4259,49229157179.618744,0.9993628707163047,49197791841.96797,66
2020-10-05 00:00:00.000 UTC,0.00022997733062001948,4846,61149169781.12285,0.9992746937288973,61104817904.80788,74
2020-10-06 00:00:00.000 UTC,0.0002479695632172478,5218,66229884610.74411,0.999372687277206,66188337761.49861,114
2020-10-07 00:00:00.000 UTC,0.00016795869877218148,4959,66352218653.60514,0.9988349903550279,66274917678.908394,94
2020-10-08 00:00:00.000 UTC,0.00024574724833756025,4690,55740079279.847626,0.9990541624328466,55687358218.86864,77
2020-10-09 00:00:00.000 UTC,0.0002857391750531844,4116,52271582921.79396,0.9990752993073256,52223247352.85899,78
2020-10-10 00:00:00.000 UTC,0.00028888263742863604,3818,46221780081.61979,0.9991530217262564,46182631238.116905,57
2020-10-11 00:00:00.000 UTC,0.0003225703647777683,3366,41117514573.12622,0.9991412431525337,41082204625.93575,61
2020-10-12 00:00:00.000 UTC,0.0003103251160770254,3936,42910964505.60859,0.9993862025031981,42884625863.00969,70
2020-10-13 00:00:00.000 UTC,0.00029284347710399985,3192,61803766309.242615,0.9996054034145815,61779378754.09098,58
2020-10-14 00:00:00.000 UTC,0.0002811242811055109,3938,53632472579.8651,0.9995316259743434,53607352522.77695,70
2020-10-15 00:00:00.000 UTC,0.000315409651869605,3600,44431864490.899475,0.99930905015118,44401164300.846695,88
2020-10-16 00:00:00.000 UTC,0.00030429665586844773,4068,50842168078.27522,0.9991680197709406,50799868399.631584,88
2020-10-17 00:00:00.000 UTC,0.00031816991893446496,3483,39659816263.989,0.9993762353067254,39635077870.86176,69
2020-10-18 00:00:00.000 UTC,0.00034799474842698186,3448,39801024700.32939,0.9992231451669134,39770105081.92914,65
2020-10-19 00:00:00.000 UTC,0.00015523392404792865,3217,70176796140.55515,0.9996477329863473,70152075170.151,65
2020-10-20 00:00:00.000 UTC,0.00024323261963441265,3379,48572506153.08131,0.9994082323173521,48543762513.6747,79
2020-10-21 00:00:00.000 UTC,0.0003003151049282433,3684,41105284215.528076,0.9992675655584194,41075177289.637665,68
2020-10-22 00:00:00.000 UTC,0.00030765403873011333,3938,39959036955.73146,0.9993830814213052,39934385483.44672,64
2020-10-23 00:00:00.000 UTC,0.00041938067580599505,3113,32108482017.650986,0.9992930620927256,32085783314.56767,63
2020-10-24 00:00:00.000 UTC,0.0004175337627167394,3345,34606445837.89386,0.9993789309747559,34584952846.31016,60
2020-10-25 00:00:00.000 UTC,0.0003805720365702073,3184,37069984754.129654,0.9993315281455031,37045204512.67489,77
2020-10-26 00:00:00.000 UTC,0.0003744151934548037,3245,38078284006.59099,0.9991180736904027,38044701766.10126,65
2020-10-27 00:00:00.000 UTC,0.00034385042917298245,3175,36665008636.91533,0.9991259430229036,36632961330.300934,61
2020-10-28 00:00:00.000 UTC,0.0003807227982589614,2750,32353129605.924477,0.9993076137090283,32330728742.515305,64
2020-10-29 00:00:00.000 UTC,0.00034085511302752347,2958,33428977679.10978,0.999056243101136,33397428850.80315,56
2020-10-30 00:00:00.000 UTC,0.00031246561217549085,4139,46452448914.113785,0.9992236320303265,46416384720.66397,73
2020-10-31 00:00:00.000 UTC,0.00036420850950963824,3295,34268498159.19517,0.9990874851910332,34237227647.143852,68
2020-11-01 00:00:00.000 UTC,0.00038786985077560437,2771,34043964742.903366,0.9991546999435585,34015187377.584698,66
2020-11-02 00:00:00.000 UTC,0.00043353943168922943,2905,30407303053.978775,0.9992542713721213,30384627457.59484,60
2020-11-03 00:00:00.000 UTC,0.00039119871397972554,2811,34694127584.64763,0.9992614556859477,34668504433.98898,69
2020-11-04 00:00:00.000 UTC,0.0003561023042560541,2959,35162820743.17151,0.9991256734982134,35132076957.11818,70
2020-11-05 00:00:00.000 UTC,0.0002914051733046341,3991,49661986836.03233,0.9988013647835415,49602460229.69137,110
2020-11-06 00:00:00.000 UTC,0.0003468636474700797,3655,35624488565.681755,0.9982267562957954,35561317665.61715,108
2020-11-07 00:00:00.000 UTC,0.00024871640671167894,3409,43466805666.00136,0.998663825113024,43408726411.85338,93
2020-11-08 00:00:00.000 UTC,0.0003674192020372266,2610,25511912466.07221,0.9986679328806137,25477928886.323494,77
2020-11-09 00:00:00.000 UTC,0.0004903750273833298,2334,20858005790.776627,0.9988420898475643,20833854094.111923,79
2020-11-10 00:00:00.000 UTC,0.0003067824383348135,2964,30696284675.42608,0.9989084414847395,30662777884.501755,87
2020-11-11 00:00:00.000 UTC,0.000386122555756243,2848,24176639474.115692,0.9988158457621896,24148010604.026405,65
2020-11-12 00:00:00.000 UTC,0.00045280867041593286,2743,23454092673.50006,0.9988321301324969,23426701345.397057,74
2020-11-13 00:00:00.000 UTC,0.0001690557556829562,4214,38212300204.528046,0.9985209506678863,38155782327.43201,97
2020-11-14 00:00:00.000 UTC,0.0002270798279641034,4168,40883915101.1065,0.998492124669659,40822267254.11778,90
2020-11-15 00:00:00.000 UTC,0.00024582416819087817,4665,44201529349.44418,0.9986435098413649,44141570409.88504,82
2020-11-16 00:00:00.000 UTC,0.0003024420161592502,3910,38746934478.781906,0.9987434086210775,38698245414.95619,73
2020-11-17 00:00:00.000 UTC,0.0002838704993236651,5793,33769334200.875473,0.9984658587293314,33717527271.59491,80
2020-11-18 00:00:00.000 UTC,0.0004410820978995696,3834,25314356149.07727,0.9986207199637854,25279440563.011223,71
2020-11-19 00:00:00.000 UTC,0.0003020729921631601,3768,27487067044.354607,0.9982511537038683,27438996388.962563,73
